nom_de_commune,code_departement,code_commune
MAISONS-LAFFITTE,78,358
CHATOU,78,146
MONTESSON,78,418
PLAISIR,78,490
HOUILLES,78,311
MAISONS-LAFFITTE,78,358
CHATOU,78,146
SARTROUVILLE,78,586
CHATOU,78,146
CHATOU,78,146
NOISY LE ROI,78,455
HOUILLES,78,311
CLAYES-SOUS-BOIS (LES),78,165
MARLY-LE-ROI,78,372
CARRIERES SUR SEINE,78,124
CROISSY SUR SEINE,78,190
HOUILLES,78,311
CLAYES-SOUS-BOIS (LES),78,165
LOUVECIENNES,78,350
CHATOU,78,146
CROISSY SUR SEINE,78,190
MAISONS-LAFFITTE,78,358
CLAYES-SOUS-BOIS (LES),78,165
PLAISIR,78,490
VESINET (LE),78,650
BOUGIVAL,78,92
VESINET (LE),78,650
CHATOU,78,146
CELLE-SAINT-CLOUD (LA),78,126
HOUILLES,78,311
LOUVECIENNES,78,350
CELLE-SAINT-CLOUD (LA),78,126
HOUILLES,78,311
SARTROUVILLE,78,586
HOUILLES,78,311
HOUILLES,78,311
PLAISIR,78,490
HOUILLES,78,311
HOUILLES,78,311
SARTROUVILLE,78,586
MAISONS-LAFFITTE,78,358
VESINET (LE),78,650
MAISONS-LAFFITTE,78,358
MAISONS-LAFFITTE,78,358
CELLE-SAINT-CLOUD (LA),78,126
MARLY-LE-ROI,78,372
CROISSY SUR SEINE,78,190
SARTROUVILLE,78,586
MAISONS-LAFFITTE,78,358
PLAISIR,78,490
MAISONS-LAFFITTE,78,358
MONTESSON,78,418
VESINET (LE),78,650
PLAISIR,78,490
ETANG-LA-VILLE (L ),78,224
MAISONS-LAFFITTE,78,358
CHATOU,78,146
CARRIERES SUR SEINE,78,124
SARTROUVILLE,78,586
SARTROUVILLE,78,586
MARLY-LE-ROI,78,372
MARLY-LE-ROI,78,372
CARRIERES SUR SEINE,78,124
NOISY LE ROI,78,455
ETANG-LA-VILLE (L ),78,224
MARLY-LE-ROI,78,372
SARTROUVILLE,78,586
HOUILLES,78,311
CELLE-SAINT-CLOUD (LA),78,126
PORT-MARLY (LE),78,502
SARTROUVILLE,78,586
SARTROUVILLE,78,586
MAISONS-LAFFITTE,78,358
MAISONS-LAFFITTE,78,358
MAISONS-LAFFITTE,78,358
CHATOU,78,146
CELLE-SAINT-CLOUD (LA),78,126
SARTROUVILLE,78,586
CLAYES-SOUS-BOIS (LES),78,165
CROISSY SUR SEINE,78,190
HOUILLES,78,311
CROISSY SUR SEINE,78,190
CELLE-SAINT-CLOUD (LA),78,126
MAISONS-LAFFITTE,78,358
MONTESSON,78,418
HOUILLES,78,311
PORT-MARLY (LE),78,502
CELLE-SAINT-CLOUD (LA),78,126
MONTESSON,78,418
CONFLANS SAINTE HONORINE,78,172
MAURECOURT,78,382
PECQ (LE),78,481
ANDRESY,78,15
SAINT-GERMAIN-EN-LAYE,78,551
ORGEVAL,78,466
MAULE,78,380
SAINT-GERMAIN-EN-LAYE,78,551
POISSY,78,498
TRIEL SUR SEINE,78,624
PECQ (LE),78,481
MEULAN-EN-YVELINES,78,401
CONFLANS SAINTE HONORINE,78,172
CONFLANS SAINTE HONORINE,78,172
CARRIERES SOUS POISSY,78,123
SAINT-GERMAIN-EN-LAYE,78,551
VERNEUIL SUR SEINE,78,642
VERNEUIL SUR SEINE,78,642
MEULAN-EN-YVELINES,78,401
SAINT-GERMAIN-EN-LAYE,78,551
MEULAN-EN-YVELINES,78,401
MEULAN-EN-YVELINES,78,401
MEULAN-EN-YVELINES,78,401
MUREAUX (LES),78,440
CONFLANS SAINTE HONORINE,78,172
TRIEL SUR SEINE,78,624
TRIEL SUR SEINE,78,624
ANDRESY,78,15
ANDRESY,78,15
MAURECOURT,78,382
PECQ (LE),78,481
PECQ (LE),78,481
PECQ (LE),78,481
PECQ (LE),78,481
POISSY,78,498
ACHERES,78,5
ACHERES,78,5
CONFLANS SAINTE HONORINE,78,172
TRIEL SUR SEINE,78,624
MAREIL-MARLY,78,367
CONFLANS SAINTE HONORINE,78,172
PECQ (LE),78,481
MAULE,78,380
CARRIERES SOUS POISSY,78,123
CARRIERES SOUS POISSY,78,123
VILLENNES-SUR-SEINE,78,672
CARRIERES SOUS POISSY,78,123
PECQ (LE),78,481
SAINT-GERMAIN-EN-LAYE,78,551
VERNOUILLET,78,643
CARRIERES SOUS POISSY,78,123
VERNEUIL SUR SEINE,78,642
MEULAN-EN-YVELINES,78,401
CARRIERES SOUS POISSY,78,123
CONFLANS SAINTE HONORINE,78,172
MAURECOURT,78,382
ACHERES,78,5
POISSY,78,498
SAINT-GERMAIN-EN-LAYE,78,551
CONFLANS SAINTE HONORINE,78,172
SAINT-GERMAIN-EN-LAYE,78,551
CARRIERES SOUS POISSY,78,123
MAULE,78,380
MEULAN-EN-YVELINES,78,401
MAREIL-MARLY,78,367
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
PECQ (LE),78,481
TRIEL SUR SEINE,78,624
ORGEVAL,78,466
ACHERES,78,5
CARRIERES SOUS POISSY,78,123
CARRIERES SOUS POISSY,78,123
CARRIERES SOUS POISSY,78,123
SAINT-GERMAIN-EN-LAYE,78,551
POISSY,78,498
POISSY,78,498
AUBERGENVILLE,78,29
SAINT-GERMAIN-EN-LAYE,78,551
VERNEUIL SUR SEINE,78,642
MEULAN-EN-YVELINES,78,401
MEULAN-EN-YVELINES,78,401
SAINT-GERMAIN-EN-LAYE,78,551
CONFLANS SAINTE HONORINE,78,172
POISSY,78,498
SAINT-GERMAIN-EN-LAYE,78,551
CONFLANS SAINTE HONORINE,78,172
MEULAN-EN-YVELINES,78,401
SAINT-GERMAIN-EN-LAYE,78,551
ANDRESY,78,15
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
ANDRESY,78,15
SAINT-GERMAIN-EN-LAYE,78,551
BOUAFLE,78,90
MEULAN-EN-YVELINES,78,401
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
VERNEUIL SUR SEINE,78,642
CONFLANS SAINTE HONORINE,78,172
CONFLANS SAINTE HONORINE,78,172
ORGEVAL,78,466
POISSY,78,498
CONFLANS SAINTE HONORINE,78,172
MAULE,78,380
ORGEVAL,78,466
CONFLANS SAINTE HONORINE,78,172
POISSY,78,498
CONFLANS SAINTE HONORINE,78,172
CONFLANS SAINTE HONORINE,78,172
MEULAN-EN-YVELINES,78,401
ACHERES,78,5
POISSY,78,498
POISSY,78,498
ORGEVAL,78,466
MAREIL-MARLY,78,367
CHANTELOUP-LES-VIGNES,78,138
SAINT-GERMAIN-EN-LAYE,78,551
BOUAFLE,78,90
CONFLANS SAINTE HONORINE,78,172
VERNEUIL SUR SEINE,78,642
MORAINVILLIERS,78,431
CARRIERES SOUS POISSY,78,123
ECQUEVILLY,78,206
MEULAN-EN-YVELINES,78,401
ACHERES,78,5
CONFLANS SAINTE HONORINE,78,172
ACHERES,78,5
ACHERES,78,5
ACHERES,78,5
CARRIERES SOUS POISSY,78,123
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
CONFLANS SAINTE HONORINE,78,172
ACHERES,78,5
MEULAN-EN-YVELINES,78,401
SAINT-GERMAIN-EN-LAYE,78,551
MEULAN-EN-YVELINES,78,401
TRIEL SUR SEINE,78,624
ACHERES,78,5
POISSY,78,498
POISSY,78,498
SAINT-GERMAIN-EN-LAYE,78,551
MEULAN-EN-YVELINES,78,401
CARRIERES SOUS POISSY,78,123
SAINT-GERMAIN-EN-LAYE,78,551
VERNEUIL SUR SEINE,78,642
PECQ (LE),78,481
VAUX-SUR-SEINE,78,638
MUREAUX (LES),78,440
CARRIERES SOUS POISSY,78,123
MEZY-SUR-SEINE,78,403
VERNEUIL SUR SEINE,78,642
CARRIERES SOUS POISSY,78,123
CONFLANS SAINTE HONORINE,78,172
VERNOUILLET,78,643
MAURECOURT,78,382
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
POISSY,78,498
SAINT-GERMAIN-EN-LAYE,78,551
POISSY,78,498
VERNOUILLET,78,643
POISSY,78,498
SAINT-GERMAIN-EN-LAYE,78,551
CONFLANS SAINTE HONORINE,78,172
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
CARRIERES SOUS POISSY,78,123
PECQ (LE),78,481
VILLENNES-SUR-SEINE,78,672
POISSY,78,498
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
VERNEUIL SUR SEINE,78,642
ANDRESY,78,15
CONFLANS SAINTE HONORINE,78,172
POISSY,78,498
PECQ (LE),78,481
ORGEVAL,78,466
VERNOUILLET,78,643
CONFLANS SAINTE HONORINE,78,172
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
TRIEL SUR SEINE,78,624
SAINT-GERMAIN-EN-LAYE,78,551
CHANTELOUP-LES-VIGNES,78,138
ORGEVAL,78,466
CONFLANS SAINTE HONORINE,78,172
SAINT-GERMAIN-EN-LAYE,78,551
CHAMBOURCY,78,133
SAINT-GERMAIN-EN-LAYE,78,551
VILLENNES-SUR-SEINE,78,672
CONFLANS SAINTE HONORINE,78,172
CONFLANS SAINTE HONORINE,78,172
CARRIERES SOUS POISSY,78,123
VERNOUILLET,78,643
SAINT-GERMAIN-EN-LAYE,78,551
ANDRESY,78,15
VERNOUILLET,78,643
ACHERES,78,5
CARRIERES SOUS POISSY,78,123
CONFLANS SAINTE HONORINE,78,172
POISSY,78,498
POISSY,78,498
CRESPIERES,78,189
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
PECQ (LE),78,481
CONFLANS SAINTE HONORINE,78,172
SAINT-GERMAIN-EN-LAYE,78,551
NEZEL,78,451
MEULAN-EN-YVELINES,78,401
MEULAN-EN-YVELINES,78,401
SAINT-GERMAIN-EN-LAYE,78,551
MUREAUX (LES),78,440
VERNEUIL SUR SEINE,78,642
SAINT-GERMAIN-EN-LAYE,78,551
PECQ (LE),78,481
ORGEVAL,78,466
SAINT-GERMAIN-EN-LAYE,78,551
VILLENNES-SUR-SEINE,78,672
CARRIERES SOUS POISSY,78,123
CONFLANS SAINTE HONORINE,78,172
POISSY,78,498
ORGEVAL,78,466
PECQ (LE),78,481
POISSY,78,498
CHANTELOUP-LES-VIGNES,78,138
PECQ (LE),78,481
VERNOUILLET,78,643
AUBERGENVILLE,78,29
PECQ (LE),78,481
SAINT-GERMAIN-EN-LAYE,78,551
AUBERGENVILLE,78,29
CARRIERES SOUS POISSY,78,123
MAULE,78,380
POISSY,78,498
SAINT-GERMAIN-EN-LAYE,78,551
ANDRESY,78,15
MEULAN-EN-YVELINES,78,401
AUBERGENVILLE,78,29
CARRIERES SOUS POISSY,78,123
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
POISSY,78,498
MAURECOURT,78,382
MAULE,78,380
SAINT-GERMAIN-EN-LAYE,78,551
VERNOUILLET,78,643
CONFLANS SAINTE HONORINE,78,172
ANDRESY,78,15
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
CHAMBOURCY,78,133
CONFLANS SAINTE HONORINE,78,172
MUREAUX (LES),78,440
ACHERES,78,5
CARRIERES SOUS POISSY,78,123
SAINT-GERMAIN-EN-LAYE,78,551
MEULAN-EN-YVELINES,78,401
PECQ (LE),78,481
SAINT-GERMAIN-EN-LAYE,78,551
MEULAN-EN-YVELINES,78,401
ORGEVAL,78,466
ACHERES,78,5
MEULAN-EN-YVELINES,78,401
CHAMBOURCY,78,133
PECQ (LE),78,481
CARRIERES SOUS POISSY,78,123
CHANTELOUP-LES-VIGNES,78,138
ANDRESY,78,15
VILLENNES-SUR-SEINE,78,672
MAURECOURT,78,382
CARRIERES SOUS POISSY,78,123
VERNEUIL SUR SEINE,78,642
POISSY,78,498
POISSY,78,498
MAREIL-MARLY,78,367
MAURECOURT,78,382
VERNEUIL SUR SEINE,78,642
ORGEVAL,78,466
MAREIL-MARLY,78,367
CONFLANS SAINTE HONORINE,78,172
MEULAN-EN-YVELINES,78,401
POISSY,78,498
SAINT-GERMAIN-EN-LAYE,78,551
ANDRESY,78,15
ANDRESY,78,15
CONFLANS SAINTE HONORINE,78,172
VERNOUILLET,78,643
POISSY,78,498
ORGEVAL,78,466
VILLENNES-SUR-SEINE,78,672
CARRIERES SOUS POISSY,78,123
CARRIERES SOUS POISSY,78,123
POISSY,78,498
POISSY,78,498
POISSY,78,498
POISSY,78,498
CHAMBOURCY,78,133
TRIEL SUR SEINE,78,624
MEULAN-EN-YVELINES,78,401
MEULAN-EN-YVELINES,78,401
MEULAN-EN-YVELINES,78,401
MEULAN-EN-YVELINES,78,401
PECQ (LE),78,481
SAINT-GERMAIN-EN-LAYE,78,551
ECQUEVILLY,78,206
SAINT-GERMAIN-EN-LAYE,78,551
CONFLANS SAINTE HONORINE,78,172
MEULAN-EN-YVELINES,78,401
SAINT-GERMAIN-EN-LAYE,78,551
PECQ (LE),78,481
SAINT-GERMAIN-EN-LAYE,78,551
MEULAN-EN-YVELINES,78,401
POISSY,78,498
VILLENNES-SUR-SEINE,78,672
TRIEL SUR SEINE,78,624
CHAMBOURCY,78,133
CHANTELOUP-LES-VIGNES,78,138
TRIEL SUR SEINE,78,624
ORGEVAL,78,466
FLINS-SUR-SEINE,78,238
TRIEL SUR SEINE,78,624
ORGEVAL,78,466
VILLENNES-SUR-SEINE,78,672
TRIEL SUR SEINE,78,624
ORGEVAL,78,466
POISSY,78,498
CARRIERES SOUS POISSY,78,123
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
ACHERES,78,5
CONFLANS SAINTE HONORINE,78,172
ACHERES,78,5
PECQ (LE),78,481
CONFLANS SAINTE HONORINE,78,172
CONFLANS SAINTE HONORINE,78,172
SAINT-GERMAIN-EN-LAYE,78,551
ANDRESY,78,15
POISSY,78,498
POISSY,78,498
POISSY,78,498
CARRIERES SOUS POISSY,78,123
CARRIERES SOUS POISSY,78,123
MAREIL-MARLY,78,367
PECQ (LE),78,481
CONFLANS SAINTE HONORINE,78,172
MUREAUX (LES),78,440
MEULAN-EN-YVELINES,78,401
CONFLANS SAINTE HONORINE,78,172
CONFLANS SAINTE HONORINE,78,172
SAINT-GERMAIN-EN-LAYE,78,551
CONFLANS SAINTE HONORINE,78,172
SAINT-GERMAIN-EN-LAYE,78,551
ACHERES,78,5
MAREIL-MARLY,78,367
CONFLANS SAINTE HONORINE,78,172
MEULAN-EN-YVELINES,78,401
PECQ (LE),78,481
MUREAUX (LES),78,440
CONFLANS SAINTE HONORINE,78,172
SAINT-GERMAIN-EN-LAYE,78,551
CONFLANS SAINTE HONORINE,78,172
CONFLANS SAINTE HONORINE,78,172
BOUAFLE,78,90
ACHERES,78,5
MEULAN-EN-YVELINES,78,401
PECQ (LE),78,481
SAINT-GERMAIN-EN-LAYE,78,551
SAINT-GERMAIN-EN-LAYE,78,551
CARRIERES SOUS POISSY,78,123
POISSY,78,498
MEULAN-EN-YVELINES,78,401
TRIEL SUR SEINE,78,624
FLINS-SUR-SEINE,78,238
POISSY,78,498
CONFLANS SAINTE HONORINE,78,172
CONFLANS SAINTE HONORINE,78,172
CONFLANS SAINTE HONORINE,78,172
VERNOUILLET,78,643
CARRIERES SOUS POISSY,78,123
VERNEUIL SUR SEINE,78,642
CARRIERES SOUS POISSY,78,123
SAINT-GERMAIN-EN-LAYE,78,551
TRIEL SUR SEINE,78,624
ORGEVAL,78,466
VERNEUIL SUR SEINE,78,642
